5,0,0,0.1
4,1,0,0.5
1,3,1,0.5
2,0,3,0.5
4,3,3,0.5
4,3,3,1
3,4,3,1
3,3,4,1
4,4,4,1.5
5,5,5,1.5
5,5,5,2
5,5,5,2
10,0,0,2.5
0,10,0,2.5
0,0,10,2.5
7,7,7,3
7,7,7,3
7,7,7,4
11,2,2,4.5
2,11,2,4.5
2,2,11,4.5
9,9,6,5
9,6,9,5
6,9,9,5
10,10,10,6
10,10,10,7
10,10,10,8
10,10,10,10
10,10,10,10
10,10,10,12
10,10,10,12
10,10,10,14
15,3,2,14.5
2,15,3,14.5
3,2,15,14.5
15,5,5,16
15,10,5,18
15,10,10,20
15,15,10,22
15,15,15,24
15,15,15,26
15,15,15,28
15,15,15,30
15,15,15,33
15,15,15,36
15,15,15,39
15,15,15,42
15,15,15,45
15,15,15,50
100,100,100,50
